doc_id,cid,citation_type,citation_details,sql_query
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-152DE,bafkreifn56rumvgcjzm5s73zzvn3tat7xmrarrj2dyyk3szfjzzvdhsv74,USC,"{'citation_type': 'USC', 'title': '33', 'section': '1345', 'sql_query': ""SELECT * FROM usc WHERE title = '33' AND section = '1345'""}",SELECT * FROM usc WHERE title = '33' AND section = '1345'
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-152DE,bafkreifn56rumvgcjzm5s73zzvn3tat7xmrarrj2dyyk3szfjzzvdhsv74,USC,"{'citation_type': 'USC', 'title': '33', 'section': '1317(b)', 'sql_query': ""SELECT * FROM usc WHERE title = '33' AND section = '1317(b)'""}",SELECT * FROM usc WHERE title = '33' AND section = '1317(b)'
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-152DE,bafkreifn56rumvgcjzm5s73zzvn3tat7xmrarrj2dyyk3szfjzzvdhsv74,USC,"{'citation_type': 'USC', 'title': '33', 'section': '1342', 'sql_query': ""SELECT * FROM usc WHERE title = '33' AND section = '1342'""}",SELECT * FROM usc WHERE title = '33' AND section = '1342'
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-152DE,bafkreifn56rumvgcjzm5s73zzvn3tat7xmrarrj2dyyk3szfjzzvdhsv74,USC,"{'citation_type': 'USC', 'title': '33', 'section': '1317(c)', 'sql_query': ""SELECT * FROM usc WHERE title = '33' AND section = '1317(c)'""}",SELECT * FROM usc WHERE title = '33' AND section = '1317(c)'
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-152DE,bafkreifn56rumvgcjzm5s73zzvn3tat7xmrarrj2dyyk3szfjzzvdhsv74,USC,"{'citation_type': 'USC', 'title': '33', 'section': '1292', 'sql_query': ""SELECT * FROM usc WHERE title = '33' AND section = '1292'""}",SELECT * FROM usc WHERE title = '33' AND section = '1292'
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-152DE,bafkreifn56rumvgcjzm5s73zzvn3tat7xmrarrj2dyyk3szfjzzvdhsv74,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.5', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-152DE,bafkreifn56rumvgcjzm5s73zzvn3tat7xmrarrj2dyyk3szfjzzvdhsv74,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.6', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-155FECAPRST,bafkreidhw3ezx4ulfb6ckwpdtanmx35xri7fp763holcz3mu427m7n4b5q,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.12', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-156MOFECAPRST,bafkreiad3drdt2luijhqu2zzyyqhoswpqxe6cjnkto5cxowhe54gvssck4,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.7', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-156MOFECAPRST,bafkreiad3drdt2luijhqu2zzyyqhoswpqxe6cjnkto5cxowhe54gvssck4,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.7', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-170PECORE,bafkreid5e4r6zinhgprbw62hsugtbzb42fjhuwzyc74lxgqcpbvcpmmdnu,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '136', 'section': '136', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '136'""}",SELECT * FROM cfr WHERE title = '40' AND part = '136'
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-170PECORE,bafkreid5e4r6zinhgprbw62hsugtbzb42fjhuwzyc74lxgqcpbvcpmmdnu,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '136', 'section': '136', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '136'""}",SELECT * FROM cfr WHERE title = '40' AND part = '136'
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV2WACOPE_S70-182AP,bafkreifxl6rxmnxpuplanv453cakabdjujwrix2jfr2johkoxarulxba2i,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '136', 'section': '136', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '136'""}",SELECT * FROM cfr WHERE title = '40' AND part = '136'
